account_id,user_id,name,type,mask,balances_current,balances_available,currency_code
NkbGJmg5ZAhzWL1AZn9XI4WKwGqvepuodglNb,USR062kj,Plaid Credit Card,credit card credit,3333,410.0,,GBP
PnXqJ9o51mS3ldKqve6zsPMqgx981pt8a9xmE,USR762EY,Plaid Mortgage,mortgage loan,8888,56302.06,,GBP
7z3BodlEn8UAXPLpm5KVUxEoyGJnMBF6PmEVg,USR266qS,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,GBP
bKb6gqA5xvha7zrXERewszywp9ZJjZfmbE3Bp,USR201Ef,Plaid Checking,checking depository,0,110.0,100.0,USD
mjlgbPz45dFBK74poGMPhW4PeKDxADugy9ArD,USR694jN,Plaid Saving,savings depository,1111,210.0,200.0,USD
yEPM5pQoVLCgz5D4EaylsK8L1pzqgzI46oDgQ,USR819hD,Plaid CD,cd depository,2222,1000.0,,USD
9mbdKZLl8QtW1DG47vydTkQK6PyvGyU4xkEKW,USR718Bp,Plaid Credit Card,credit card credit,3333,410.0,,USD
voaMAkj1qZFwRqrx15pLhWJLm4MvVMuq6gXwj,USR947vO,Plaid Money Market,money market depository,4444,43200.0,43200.0,USD
Rp7Qo9NE8vuLPDe9Kvzgs7MrDkjAejhapwGZ9,USR462aw,Plaid IRA,ira investment,5555,320.76,,USD
6GAed7ZVgjCGZ4RWbmkNHe34Pz7m97S8Dmxzl,USR121YV,Plaid 401k,401k investment,6666,23631.9805,,USD
XALgB9Zm8vTkEwP9Az4yHw5ozAg9GghbK9xD6,USR220JL,Plaid Student Loan,student loan,7777,65262.0,,USD
Dkl1VvmN8AFnr17qW9myCl87M1e95ef3W7XZe,USR998lh,Plaid Mortgage,mortgage loan,8888,56302.06,,USD
VEMar9enWvCvoB6QA1dECMRaezkgDki9gonD1,USR228Yv,Plaid HSA,hsa depository,9001,6009.0,6009.0,USD
wk4bJo7LKMFBDzbjo9ENhnLNzyb8wbtPZ3lQ8,USR441pq,Plaid Cash Management,cash management depository,9002,12060.0,12060.0,USD
5AW46jQDoPTQWyXN7zbxhBgw1Wdz3dc5Kbp6E,USR980VM,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,USD
xlJDNAq6NotDawz9vPjZUDvBjwm8N3fQzjpRJ,USR904do,Plaid Checking,checking depository,0,110.0,100.0,USD
dErMyxXRyKTBXjlmwW8VHP7AeLyNvMiXbK5x6,USR315rz,Plaid Saving,savings depository,1111,210.0,200.0,USD
apl6nzXRnAuGrmdBJveVUWgGEz8Qp5HXEwlxP,USR659Wc,Plaid CD,cd depository,2222,1000.0,,USD
4LPnE9bAE4uv3joBQExXizor3e76ARcmvzNw9,USR029in,Plaid Credit Card,credit card credit,3333,410.0,,USD
NK984oNL4dHd1Zzva5KbH4WNx3DbvZFVGdBqV,USR451EF,Plaid Money Market,money market depository,4444,43200.0,43200.0,USD
PzwkP8WLP4tRKv3Bw5JyhPMmwZj48diKeaBrj,USR536Lx,Plaid IRA,ira investment,5555,320.76,,USD
jEaLDj5RDdTWaB7jmA5vIW1gb9Pv7EHQ7dz8l,USR986jp,Plaid 401k,401k investment,6666,23631.9805,,USD
7qeRG6bgGjtJLmAaBEZ4cxEbpWRdnrfw5PAKV,USR555ig,Plaid Student Loan,student loan,7777,65262.0,,USD
eEzM9dXR9rTERkPxqjyVUXenamDxp3txbQRlR,USR583eN,Plaid Mortgage,mortgage loan,8888,56302.06,,USD
QBkpjEMRjNfV48x1D5dXhjLAnVdX8oFjgX4WN,USR357SS,Plaid HSA,hsa depository,9001,6009.0,6009.0,USD
Z7JEovMkoLsBDwQ5NK1VHgQkAabmvLfxEpADd,USR799hl,Plaid Cash Management,cash management depository,9002,12060.0,12060.0,USD
Mqmgap4naxt8vnryB56wCaBZRzNMdxImWvw8a,USR484as,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,USD
688qEydPQgC6LmwDnX1lUeGaNr8LP7ikqdjQ9,USR638RK,Plaid Current Account,checking depository,0,110.0,100.0,GBP
X55dWKBM78hZNz6xRV38Hwbma7BezgUJrepkg,USR804dH,Plaid Saving,savings depository,1111,210.0,200.0,GBP
wjjPmQJpaKu1L9dAwx3ZUnM1VRj9zbuMaWAza,USR502HF,Plaid Business Current Account,checking depository,2222,1205.0,1100.0,GBP
D55eDyVWb8heZ9pJ3XAVUlEmrqNbMefdr6mND,USR130lz,Plaid Credit Card,credit card credit,3333,410.0,,GBP
V553DkrQPWheG1487wZgUMP6ryBEekclvKbQr,USR946mA,Plaid Mortgage,mortgage loan,8888,56302.06,,GBP
5gglmy6NeoFnez6p5J9mcBva8pRM1dFJENzX4,USR821Gb,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,GBP
