stats_id,user_id,account_id,total_transactions,avg_transactions_value,largest_transaction
stats_117,USR556jk,CUST_0105,46,392.33,6900.84
stats_118,USR886vk,CUST_0106,46,1307.86,41069.54
stats_119,USR372Mt,CUST_0086,51,1645.77,67448.2
stats_120,USR834PN,CUST_0127,42,328.67,5864.97
stats_121,USR129NG,CUST_0161,51,4423.81,128550.18
stats_122,USR401fn,CUST_0170,57,496.71,5254.97
stats_123,USR297tJ,CUST_0167,46,163.15,1352.38
stats_124,USR993dr,CUST_0172,49,199.1,2007.67
stats_125,USR249de,CUST_0168,47,408.1,4341.52
stats_126,USR862eI,CUST_0128,57,1061.4,38659.88
stats_127,USR489ka,CUST_0068,59,1335.06,55633.78
stats_128,USR936rw,CUST_0012,48,1133.27,42304.21
stats_129,USR981Is,CUST_0056,45,1243.55,37620.04
stats_130,USR169XO,CUST_0186,47,215.2,2748.21
stats_131,USR885xH,CUST_0087,59,308.23,5636.56
stats_132,USR104NK,CUST_0025,54,3066.39,147600.24
stats_133,USR828eU,CUST_0016,52,3439.02,166341.93
stats_134,USR689HM,CUST_0037,52,4530.63,218911.5
stats_135,USR654ba,CUST_0125,52,5359.28,204772.28
stats_136,USR725fj,CUST_0099,70,1481.57,62099.21
stats_137,USR703am,CUST_0013,46,280.28,1083.85
stats_138,USR704Np,CUST_0060,48,2121.66,71736.42
stats_139,USR990wn,CUST_0173,54,1916.97,86982.19
stats_140,USR557yC,CUST_0081,51,242.16,1160.68
stats_141,USR165jr,CUST_0069,50,253.54,2948.45
stats_142,USR203qJ,CUST_0158,63,949.22,44761.29
stats_143,USR677Eb,CUST_0009,52,2620.71,104101.2
stats_144,USR848ei,CUST_0078,40,1630.96,57019.46
stats_145,USR718eU,CUST_0055,47,360.97,5759.7
stats_146,USR162th,CUST_0152,51,1268.76,48135.64
stats_147,USR279gH,CUST_0169,47,310.74,4078.57
stats_148,USR066Hw,CUST_0133,60,4362.01,237032.68
stats_149,USR139QE,CUST_0138,54,785.1,17942.38
stats_150,USR317Xw,CUST_0144,46,278.09,1821.45
stats_151,USR866Vy,CUST_0049,43,2731.04,89270.65
stats_152,USR672oM,CUST_0098,52,1964.41,86966.94
stats_153,USR437KX,CUST_0054,66,2660.01,84697.66
stats_154,USR415QQ,CUST_0062,43,268.5,2161.63
stats_155,USR332Yp,CUST_0003,48,1475.0,56078.04
stats_156,USR598Hk,CUST_0019,50,1941.2,84850.45
stats_157,USR726VM,CUST_0051,49,1858.1,51052.81
stats_158,USR059hG,CUST_0151,46,287.26,2995.22
stats_159,USR843Yq,CUST_0131,50,343.95,5113.02
stats_160,USR473tw,CUST_0095,35,2315.79,72604.92
stats_161,USR146jK,CUST_0082,40,292.35,4164.41
stats_162,USR785nU,CUST_0179,47,311.99,2374.18
stats_163,USR102Ib,CUST_0040,49,10512.95,278057.06
stats_164,USR350bh,CUST_0177,38,232.31,961.73
stats_165,USR331Xb,CUST_0085,42,1446.57,52325.26
stats_166,USR723TN,CUST_0171,54,290.95,2025.52
stats_167,USR395Ke,CUST_0137,58,6330.37,237483.15
stats_168,USR421oQ,CUST_0032,53,8054.62,194038.15
stats_169,USR698Vo,CUST_0089,41,312.35,6502.99
stats_170,USR951HI,CUST_0015,56,429.99,4892.41
stats_171,USR495Vi,CUST_0141,52,5908.24,291770.06
stats_172,USR466ol,CUST_0029,44,1716.01,57903.41
stats_173,USR298ko,CUST_0080,43,4590.11,100894.24
stats_174,USR914Gc,CUST_0174,52,1939.13,88178.1
stats_175,USR310Wm,CUST_0044,55,5181.83,271129.92
stats_176,USR199CW,CUST_0088,54,739.56,16821.62
stats_177,USR538ia,CUST_0175,38,297.5,2395.57
stats_178,USR272Ng,CUST_0124,47,1546.96,49941.02
stats_179,USR757AI,CUST_0061,41,183.17,1764.2
stats_180,USR895fU,CUST_0200,44,8698.48,317197.82
stats_181,USR009qR,CUST_0067,54,414.85,6962.42
stats_182,USR197Mx,CUST_0149,53,3665.74,125798.6
stats_183,USR926hk,CUST_0006,50,488.01,6867.67
stats_184,USR832EJ,CUST_0059,53,2820.69,68982.29
stats_185,USR803YO,CUST_0181,53,2915.95,139125.95
stats_186,USR489hA,CUST_0118,54,3397.45,171397.48
stats_187,USR587rm,CUST_0101,37,322.04,2218.78
stats_188,USR103fp,CUST_0097,53,6150.53,171327.87
stats_189,USR710BJ,CUST_0157,42,7181.78,295387.25
stats_190,USR964lF,CUST_0079,57,466.37,7154.32
stats_191,USR901Hl,CUST_0139,48,4887.41,214910.5
stats_192,USR157Ok,CUST_0166,56,1199.45,58087.43
stats_193,USR640RH,CUST_0148,59,5347.91,206258.18
stats_194,USR953VW,CUST_0192,45,3147.31,94257.77
stats_195,USR155Ld,CUST_0084,43,5003.34,160789.58
stats_196,USR979Po,CUST_0031,44,247.38,1474.42
stats_197,USR977PC,CUST_0134,39,4105.61,153334.39
stats_198,USR985cj,CUST_0117,63,5432.48,202656.54
stats_199,USR548Uw,CUST_0153,53,3561.96,175084.14
stats_200,USR321bf,CUST_0119,38,667.73,4923.62
stats_201,USR329IV,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,145,-62.7,89.4
stats_202,USR470Uv,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,49,10.09,25.0
stats_203,USR557Nb,QKD9z6mAP3ugeqEeWZvyTjBa1y4n9LfwP3WG8,24,1000.0,1000.0
stats_204,USR888CC,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,144,692.83,2078.5
stats_205,USR101Ec,MADEl6oVdKtk9W49Lo3xsa9JLEjRwBULXe84K,24,5850.0,5850.0
stats_206,USR542rd,83rVqGRwKGh7BEQrErMNSvjLKd1WXAuW1ZvRr,145,-62.7,89.4
stats_207,USR628FF,E1QEv4rNe4tBEvZGvGLaIqZRgyGejrt4RgZMV,49,10.09,25.0
stats_208,USR981sU,LWkyoZbjlZhxaARKAKwGFdbypNjJn8tkQegmq,24,1000.0,1000.0
stats_209,USR138nO,pzBp9VXLwVIo1v9kvk48S5bEdKakRZhprJ9qX,144,692.83,2078.5
stats_210,USR352dx,orzN9VLXEVTpyaJkak48UNLkpBxAmdCoMp4PA,24,5850.0,5850.0
stats_211,USR761gu,DWz3rdP35Bi5klxAKN9Vsl8N6JmZegCdmdeBo,145,-62.7,89.4
stats_212,USR940yP,VQy8XNb85qF5JMjZDX1gsMRBn164kQIlblkXm,49,10.09,25.0
stats_213,USR721Sq,wpXBz8WBjqSVPlg3579ZunLjxB1Qb4CMAM9x9,24,1000.0,1000.0
stats_214,USR051Ap,5NMZw9vZg5IEo8l9PLzmSBgRe7aEdoiJzJVAl,144,692.83,2078.5
stats_215,USR525bL,AgkrlBarRKfZLznP7dV5uyqBJ56Lw7uMRMwlm,24,5850.0,5850.0
stats_216,USR398kh,y4zENX7nR7UXKB76ZznycK8re41kjZH43qJnp,145,-62.7,89.4
stats_217,USR986Sg,9PNm1azEjzSnKAe8E1gyHkQNer64Xjh4GW7yJ,49,10.09,25.0
stats_218,USR272FG,vx9odwNnJNsXWKylDRepcWJ39gml8Gtqz3Le4,24,1000.0,1000.0
stats_219,USR907oy,RzXpdaKDAKT6XdpVGPNzt7MmxKDQGpsalv6k6,144,692.83,2078.5
stats_220,USR678LY,6aNGQ3qE4qUPgAlJyZ6kce3lG1PEQLu89oEKV,24,5850.0,5850.0
stats_221,USR340wo,axyMQ495qoHdAEr9mlx1HWgnm3Bp7DFowzjGM,107,38.74,1400.0
stats_222,USR471zI,4qjK1BGoWMtop63wjG14Szo1G4gAQvC9zZ6EK,1,-4.22,-4.22
stats_223,USR514Mj,jQXAv1Pl4wt7yxaKBdQLSW1BDkV76AFxdBNby,1,1000.0,1000.0
stats_224,USR486wN,NkbGJmg5ZAhzWL1AZn9XI4WKwGqvepuodglNb,7,589.79,2078.5
stats_225,USR844Zm,bKb6gqA5xvha7zrXERewszywp9ZJjZfmbE3Bp,145,-62.7,89.4
stats_226,USR001ul,mjlgbPz45dFBK74poGMPhW4PeKDxADugy9ArD,49,10.09,25.0
stats_227,USR333eC,yEPM5pQoVLCgz5D4EaylsK8L1pzqgzI46oDgQ,24,1000.0,1000.0
stats_228,USR964ub,9mbdKZLl8QtW1DG47vydTkQK6PyvGyU4xkEKW,144,692.83,2078.5
stats_229,USR827NH,voaMAkj1qZFwRqrx15pLhWJLm4MvVMuq6gXwj,24,5850.0,5850.0
stats_230,USR264Ys,xlJDNAq6NotDawz9vPjZUDvBjwm8N3fQzjpRJ,145,-62.7,89.4
stats_231,USR263pz,dErMyxXRyKTBXjlmwW8VHP7AeLyNvMiXbK5x6,49,10.09,25.0
stats_232,USR840Il,apl6nzXRnAuGrmdBJveVUWgGEz8Qp5HXEwlxP,24,1000.0,1000.0
stats_233,USR950fn,4LPnE9bAE4uv3joBQExXizor3e76ARcmvzNw9,144,692.83,2078.5
stats_234,USR562FO,NK984oNL4dHd1Zzva5KbH4WNx3DbvZFVGdBqV,24,5850.0,5850.0
stats_235,USR869qe,688qEydPQgC6LmwDnX1lUeGaNr8LP7ikqdjQ9,107,38.74,1400.0
stats_236,USR024KD,X55dWKBM78hZNz6xRV38Hwbma7BezgUJrepkg,1,-4.22,-4.22
stats_237,USR661QD,wjjPmQJpaKu1L9dAwx3ZUnM1VRj9zbuMaWAza,1,1000.0,1000.0
stats_238,USR006To,D55eDyVWb8heZ9pJ3XAVUlEmrqNbMefdr6mND,7,589.79,2078.5
stats_239,USR273gg,Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,145,-62.7,89.4
stats_240,USR507pL,AA8XeAPRR4IdgLbMXaQaHyPpwvjQvBF9xKdbo,49,10.09,25.0
stats_241,USR305BD,G9vXp9M55Rf7kywpbeReIr6pabe3bgf67rQV8,24,1000.0,1000.0
stats_242,USR002SI,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,144,692.83,2078.5
stats_243,USR718AA,bkvn1kMJJwfPMmzJj171Sz6wZrjlrnCm6ydRB,24,5850.0,5850.0
stats_244,USR101Wd,jEN6PyxmJ3h97Grk641KTWRZoXnNP1CQ4W4wj,145,-62.7,89.4
stats_245,USR926eP,7qmNlZw5avtvAlzbekophxKm6Nz4REFwQJQjz,49,10.09,25.0
stats_246,USR671AL,eE3D1AKxP4hGPr6QXBlwsXM79AvkDefxD9DEy,24,1000.0,1000.0
stats_247,USR032gM,QB6Amx8GXQSex7bZkLrwUjmvQwBrdLijomozk,144,692.83,2078.5
stats_248,USR510PJ,Z76AeQ9y8wHkQzrWgdpjsgGrynVPbQsxLqLzg,24,5850.0,5850.0
stats_249,USR888gq,oQ8pdvvMJmH5zbnGEJ39hNjopRpnNri19KZ1l,145,-62.7,89.4
stats_250,USR594QR,gdQjloo4Paiq3wQEn19yHmGqdadkmbtPDM6Pb,49,10.09,25.0
stats_251,USR724hb,8AaBygglDjFVplbwJQXLIvbxG7GDveigarXgn,24,1000.0,1000.0
stats_252,USR298fI,EboMlJJjwBuglj3kxZP7hqab939dqwUrQEBrB,144,692.83,2078.5
stats_253,USR365gu,WVl6q33mLyCzgdykxeL8c1K4gxga1dIXM4bX9,24,5850.0,5850.0
stats_254,USR174bk,qKlp7jRgaMimKK6Pzvw4HBEbNBvQLjigzbe5r,145,-62.7,89.4
stats_255,USR673Ud,KbR9MVn8r6SK33WNGVjLIx6oMxlNXGFRxwljX,49,10.09,25.0
stats_256,USR554bC,rrqye5J841UgrrmPMVEoSgQxagWABlC7eKrXe,24,1000.0,1000.0
stats_257,USR530Nq,JnkRZbEgK6SJnnBNQyPxU35pb5BpK3UBD7lGL,144,692.83,2078.5
stats_258,USR451il,knwjdmyZrPSaJJpk7vEAI49Eo9bER4CLlP43V,24,5850.0,5850.0
stats_259,USR017aL,vN5QqWXG5vig39w63bKvIWwWmG1vvaiwx6mxk,145,-62.7,89.4
stats_260,USR087Jg,RKVn8y3mVqC7ZxLyZqdoU747DpyAAJhZjpyj4,49,10.09,25.0
stats_261,USR116fM,6qmDgblrmpIp1xG71DAasewePLamm8izJDZJe,24,1000.0,1000.0
stats_262,USR104pB,Xd1J8VPX1xcL3rk53x7Giwvwzem99BcDgKZgv,144,692.83,2078.5
stats_263,USR799Rk,DeRX8z7ZRJtlAjngAJb4ilLlMbm99NCZeWDeN,24,5850.0,5850.0
stats_264,USR398Px,000000 - 00000111,1798,-11.32,400.0
stats_265,USR149Et,000000 - 00000001,708,-7.19,457.85
stats_266,USR342cz,000000 - 00000011,800,-15.47,500.0
stats_267,USR739UP,11111111,2935,0.01,3154.75
stats_268,USR354Rs,db6f3eab8d36401ab29fe42bdf3280ef,3,1016.67,3000.0
stats_269,USR698Qr,00140a6c17ce4d3a9dd455073c5cac0a,98,-0.34,1887.03
stats_270,USR992ZI,38fdaceb6f364a50b21ba31b9a80306b,2,200.0,200.0
stats_271,USR352pI,084611e2c55c45a0a153ff24e2b5cb50,2,200.0,200.0
stats_272,USR227ai,0c47e3c72eec4c2286f2d2f04c5e8433,98,-1.67,1887.03
stats_273,USR086qQ,fb2d93d065bd45c9893f58d31839cde8,2,200.0,200.0
stats_274,USR592MJ,ff109f0c99a146e9bb9e30ccfac01582,98,-2.08,1887.03
stats_275,USR163vx,edb7ed6c075646948c8fb81b63b5ba75,1,-256.67,-256.67
stats_276,USR000Ux,9a0ba5d9c1f649dfbfaf18adec749a6a,2,2000.0,2000.0
stats_277,USR149vb,c933b12ce50c48dcb4208e2d5fe59c4e,98,-19.02,18870.3
stats_278,USR208yg,2901b5ccd9d84760926e25640dbb70cd,98,-1.64,1887.03
stats_279,USR463UE,725cf38790664fdb925d23618ee24518,2,200.0,200.0
stats_280,USR980UY,d6cc56bc402a4685829f0de347af4c63,100,608.39,3210.0
stats_281,USR673YB,6729b669f9e2456a9fbdee4e94d641c8,2,200.0,200.0
stats_282,USR829qO,41e035480df54e979ecd6234c2010921,98,-1.96,1887.03
stats_283,USR989QU,82e4bce631ce4afcace0ca4d36cc4958,2,230.0,230.0
stats_284,USR844Xx,7372a72bc03c4ab49492a481c2cfc7f5,98,-0.69,2111.95
stats_285,USR338ns,0b938997d88247d69ef5234ff5bf653b,2,200.0,200.0
stats_286,USR526MW,ada3d0f52c0848b985022952fef7031f,98,-1.67,1887.03
stats_287,USR667ih,7f516dc6ddf5450f86f30b9fe0ba67ea,98,-16.74,18870.3
stats_288,USR310Mk,e012264a41a44d28b32f66f40200bb8e,2,2000.0,2000.0
stats_289,USR235aH,4bb60c8682f543e8939a659d14a20124,26,4663.46,5000.0
stats_290,USR218kF,33081974045743388a4274e657c69176,53,-0.51,100.0
stats_291,USR900TT,ca93c6e29cd64c288aa462e85c634c88,2,230.0,230.0
stats_292,USR978oc,f37690212445419c9e5d0fbbda82abc2,98,-0.51,2111.95
stats_293,USR841fP,5078c8ead42c4f0c90ec882910bcc75c,2,200.0,200.0
stats_294,USR526Ci,ad3b198a7f624730a942384dd064f051,98,-1.64,1887.03
stats_295,USR257qy,4fd04cb6bfc247ddb3f42419a347e9bc,98,-1.67,1887.03
stats_296,USR748ZE,bfa0dd42f04646098b81b4cbc0bcb678,2,200.0,200.0
stats_297,USR755DK,b4b23f035a9f4b6193e1664c1d4ed782,2,230.0,230.0
stats_298,USR495mL,8c1950bbf34d4de6adcf81d97399d701,98,-0.48,2111.95
stats_299,USR170FQ,c52dcb1d472c4252b1be25e1e35826fd,2,1000.0,1000.0
stats_300,USR614yH,ca0e28e500584f8ba9a0197c04959318,98,-0.78,9467.02
stats_301,USR885po,193ffb34e92f4926a2b1f166dd9c3ac8,2,200.0,200.0
stats_302,USR733gw,d8e85133189140ceb38926ca37c44c8d,98,-0.34,1887.03
stats_303,USR329uU,fb9a593b6b0c448d968616bb8aae9a60,98,5.86,19870.3
stats_304,USR747HD,ac7a2d64f01d4638a1534bd543f7a8bc,2,2000.0,2000.0
stats_305,USR831lM,e446f1818301472a926013ba98cc8c5c,2,200.0,200.0
stats_306,USR493ow,3288ff86901143b4a34e39d56b72f0c9,98,-2.08,1887.03
