user_id,iso_score,lof_score,anomaly_score,iso_flag,lof_flag,is_anomaly,severity,vel_1d,vel_7d,vel_30d,count_30d,accounts.COUNT(transactions),avg_amt_30d,accounts.MEAN(transactions.amount),accounts.MAX(transactions.amount),accounts.MEAN(monthly_stats.total_spend),accounts.MAX(monthly_stats.total_spend),accounts.SUM(monthly_stats.total_spend),accounts.balances_current,days_since_last,accounts.TIME_SINCE_LAST(transactions.date),merchant_diversity,new_merchant_count,task_segment,top_category,top_merchant,primary_spending_trend
USR053xd,2.13,1.14,1.64,False,False,False,Normal,1.0,2.0,2.0,2.0,46,270.345,227.5828260869565,1617.1,0.0,0.0,0.0,8402.82,0.0,26956800.0,0.07,3.0,Consistent Weekly,Medical/Dental,Online,Surging in Friend Activities
USR082ip,15.26,3.69,9.47,False,False,False,Normal,2.0,2.0,3.0,3.0,50,15.693333333333332,4223.267400000001,147254.26,0.0,0.0,0.0,4551.7,0.0,27907200.0,0.06,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Subscriptions
USR721Xc,2.25,0.32,1.28,False,False,False,Normal,1.0,1.0,2.0,2.0,47,45.17,1528.1757446808513,42886.51,0.0,0.0,0.0,8860.2,0.0,25747200.0,0.06,3.0,Single-Tasker,Shopping,In-store,Surging in Hobbies
USR242VN,28.26,1.94,15.1,False,False,False,Normal,1.0,3.0,4.0,4.0,55,184.77750000000003,6009.656181818183,319220.4,0.0,0.0,0.0,1076.77,0.0,25574400.0,0.05,3.0,Healthy Active User,Shopping,In-store,Surging in Travel
USR598GE,9.72,0.82,5.27,False,False,False,Normal,1.0,1.0,3.0,3.0,48,2055.71,5221.460416666667,129871.71,0.0,0.0,0.0,8629.3,0.0,29203200.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Fitness
USR511YG,11.9,19.72,15.81,False,True,False,Normal,1.0,2.0,3.0,3.0,45,15892.656666666668,1316.8835555555556,47534.53,0.0,0.0,0.0,6672.64,0.0,28771200.0,0.07,3.0,Consistent Weekly,Shopping,In-store,Surging in Shopping
USR360hy,0.44,0.25,0.35,False,False,False,Normal,1.0,1.0,2.0,2.0,50,203.3,565.1543999999999,6863.9,0.0,0.0,0.0,1810.65,0.0,26352000.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Food
USR430vt,1.46,1.23,1.34,False,False,False,Normal,1.0,1.0,3.0,3.0,44,1932.62,439.9259090909091,5773.76,0.0,0.0,0.0,7298.6,0.0,27993600.0,0.07,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Housing and Utilities
USR244Uu,0.89,0.64,0.77,False,False,False,Normal,1.0,1.0,2.0,2.0,51,7.25,626.266862745098,10114.45,0.0,0.0,0.0,3430.64,0.0,28771200.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Subscriptions
USR478AY,7.12,0.13,3.62,False,False,False,Normal,1.0,1.0,3.0,3.0,53,1653.1666666666667,3721.589056603774,170583.42,0.0,0.0,0.0,7543.37,0.0,25833600.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Gifts
USR215xz,0.22,0.19,0.21,False,False,False,Normal,1.0,1.0,2.0,2.0,51,88.51,517.8521568627451,5185.76,0.0,0.0,0.0,9179.34,0.0,26265600.0,0.06,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Hobbies
USR247kd,4.73,0.19,2.46,False,False,False,Normal,1.0,1.0,2.0,2.0,56,54.49,1645.6053571428572,84389.3,0.0,0.0,0.0,2039.21,0.0,25833600.0,0.05,3.0,Single-Tasker,Shopping,Online,Surging in Groceries
USR207DW,12.57,11.16,11.87,False,False,False,Normal,1.0,1.0,5.0,5.0,64,8946.774000000001,976.04984375,42790.8,0.0,0.0,0.0,7305.84,0.0,25574400.0,0.05,3.0,Single-Tasker,Shopping,Mobile App,Surging in Shopping
USR258us,1.9,0.19,1.05,False,False,False,Normal,1.0,1.0,1.0,1.0,44,68.09,369.6865909090909,5654.33,0.0,0.0,0.0,3418.21,0.0,26006400.0,0.07,3.0,Single-Tasker,Housing and Utilities,In-store,Surging in Housing and Utilities
USR534tr,4.7,0.49,2.59,False,False,False,Normal,1.0,2.0,3.0,3.0,42,1507.1433333333334,1405.0757142857144,48468.04,0.0,0.0,0.0,1283.68,0.0,25660800.0,0.07,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Personal Hygiene
USR139BK,18.17,5.56,11.87,False,False,False,Normal,2.0,2.0,5.0,5.0,57,1142.756,3563.166315789474,100056.35,0.0,0.0,0.0,8607.72,0.0,27129600.0,0.05,3.0,Consistent Weekly,Shopping,Online,Surging in Housing and Utilities
USR465GL,3.58,0.83,2.2,False,False,False,Normal,1.0,2.0,5.0,5.0,57,116.40800000000002,403.5422807017544,5011.25,0.0,0.0,0.0,1364.68,0.0,25660800.0,0.05,3.0,Consistent Weekly,Housing and Utilities,Online,Surging in Travel
USR628KZ,1.9,1.21,1.55,False,False,False,Normal,1.0,2.0,3.0,3.0,46,151.46333333333334,313.449347826087,4596.37,0.0,0.0,0.0,542.38,0.0,27043200.0,0.07,3.0,Consistent Weekly,Housing and Utilities,In-store,Surging in Travel
USR726Lh,9.9,13.11,11.51,False,False,False,Normal,2.0,2.0,3.0,3.0,55,503.7533333333334,204.13163636363635,1487.04,0.0,0.0,0.0,797.38,0.0,28080000.0,0.05,3.0,Consistent Weekly,Medical/Dental,Mobile App,Surging in Travel
USR423EB,2.51,1.58,2.05,False,False,False,Normal,1.0,1.0,1.0,1.0,50,70.93,835.1496,20934.52,0.0,0.0,0.0,4881.4,0.0,26092800.0,0.06,3.0,Single-Tasker,Shopping,In-store,Surging in Gifts
USR380Yw,6.16,1.05,3.61,False,False,False,Normal,1.0,3.0,5.0,5.0,52,373.738,292.62942307692305,2603.85,0.0,0.0,0.0,2346.43,0.0,26870400.0,0.06,3.0,Healthy Active User,Personal Hygiene,Online,Surging in Shopping
USR653TK,9.55,0.09,4.82,False,False,False,Normal,1.0,1.0,2.0,2.0,43,213.92,5193.130697674418,213166.43,0.0,0.0,0.0,5750.4,0.0,26524800.0,0.07,3.0,Single-Tasker,Shopping,Mobile App,Surging in Housing and Utilities
USR271Yo,1.81,1.48,1.65,False,False,False,Normal,1.0,1.0,3.0,3.0,45,132.65333333333334,344.68266666666665,3452.17,0.0,0.0,0.0,8216.73,0.0,30153600.0,0.07,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Personal Hygiene
USR574tK,2.49,0.24,1.36,False,False,False,Normal,1.0,1.0,1.0,1.0,41,296.2,363.2009756097561,6999.0,0.0,0.0,0.0,8225.0,0.0,26092800.0,0.07,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Shopping
USR572qw,16.42,1.72,9.07,False,False,False,Normal,1.0,1.0,4.0,4.0,58,28.2075,8200.843965517242,221971.79,0.0,0.0,0.0,4706.13,0.0,26092800.0,0.05,3.0,Single-Tasker,Shopping,Mobile App,Surging in Subscriptions
USR925Mf,4.76,0.86,2.81,False,False,False,Normal,1.0,2.0,4.0,4.0,39,1176.6375,435.3102564102564,3614.0,0.0,0.0,0.0,1241.88,0.0,26179200.0,0.08,3.0,Consistent Weekly,Shopping,In-store,Surging in Shopping
USR201Zu,3.75,0.83,2.29,False,False,False,Normal,1.0,2.0,5.0,5.0,56,216.26,480.0646428571428,7111.15,0.0,0.0,0.0,8376.62,0.0,26265600.0,0.05,3.0,Consistent Weekly,Housing and Utilities,Mobile App,Surging in Transportation
USR425DX,1.59,0.29,0.94,False,False,False,Normal,1.0,1.0,3.0,3.0,61,236.97333333333333,342.8065573770492,3441.79,0.0,0.0,0.0,1496.64,0.0,25660800.0,0.05,3.0,Single-Tasker,Housing and Utilities,In-store,Surging in Groceries
USR388wJ,15.67,0.69,8.18,False,False,False,Normal,1.0,2.0,3.0,3.0,55,501.7033333333333,6776.161454545455,244977.8,0.0,0.0,0.0,5162.39,0.0,25833600.0,0.05,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Medical/Dental
USR068Xr,37.33,7.9,22.61,False,False,False,Normal,1.0,1.0,1.0,1.0,45,147.8,15029.926666666666,241921.72,0.0,0.0,0.0,8473.93,0.0,31795200.0,0.07,3.0,Single-Tasker,Shopping,In-store,Surging in Food
USR223cE,7.4,0.2,3.8,False,False,False,Normal,1.0,1.0,3.0,3.0,55,131.10666666666663,4824.094181818182,170911.33,0.0,0.0,0.0,5764.47,0.0,26438400.0,0.05,3.0,Single-Tasker,Shopping,Online,Surging in Groceries
USR031uI,3.78,0.25,2.02,False,False,False,Normal,1.0,2.0,3.0,3.0,55,60.03666666666666,1354.732909090909,61377.57,0.0,0.0,0.0,6108.69,0.0,26524800.0,0.05,3.0,Consistent Weekly,Shopping,Online,Surging in Gifts
USR151Xg,4.4,0.09,2.25,False,False,False,Normal,1.0,1.0,2.0,2.0,55,1616.22,1745.0918181818183,66772.13,0.0,0.0,0.0,6705.29,0.0,26784000.0,0.05,3.0,Single-Tasker,Shopping,Mobile App,Surging in Housing and Utilities
USR013pA,14.1,0.1,7.1,False,False,False,Normal,1.0,1.0,4.0,4.0,58,231.0575,5298.625344827587,220355.95,0.0,0.0,0.0,9264.23,0.0,27129600.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Fitness
USR579jO,24.26,4.43,14.35,False,False,False,Normal,2.0,2.0,2.0,2.0,45,164.42000000000002,7295.836,155475.75,0.0,0.0,0.0,8105.09,0.0,30758400.0,0.07,3.0,Consistent Weekly,Shopping,Online,Surging in Friend Activities
USR621BM,2.3,0.02,1.16,False,False,False,Normal,1.0,1.0,3.0,3.0,44,551.5666666666667,1725.836136363636,64899.6,0.0,0.0,0.0,4513.73,0.0,26697600.0,0.07,3.0,Single-Tasker,Shopping,Online,Surging in Personal Hygiene
USR592gD,1.73,0.56,1.15,False,False,False,Normal,1.0,1.0,4.0,4.0,50,121.6225,369.9444,6645.43,0.0,0.0,0.0,9922.81,0.0,26352000.0,0.06,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Subscriptions
USR140si,5.24,0.09,2.67,False,False,False,Normal,1.0,1.0,4.0,4.0,41,311.05,1620.7441463414632,54472.59,0.0,0.0,0.0,185.36,0.0,26179200.0,0.07,3.0,Single-Tasker,Shopping,Online,Surging in Fitness
USR596jh,6.46,0.93,3.7,False,False,False,Normal,1.0,3.0,4.0,4.0,44,662.5575000000001,504.6093181818182,14365.92,0.0,0.0,0.0,5472.21,0.0,26697600.0,0.07,3.0,Healthy Active User,Shopping,Mobile App,Surging in Friend Activities
USR691El,18.21,0.58,9.4,False,False,False,Normal,1.0,2.0,4.0,4.0,40,136.6125,6347.749999999999,246679.84,0.0,0.0,0.0,980.22,0.0,26179200.0,0.08,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Friend Activities
USR062rU,1.61,0.57,1.09,False,False,False,Normal,1.0,2.0,4.0,4.0,47,125.7375,359.0955319148936,3715.36,0.0,0.0,0.0,3355.82,0.0,26352000.0,0.06,3.0,Consistent Weekly,Housing and Utilities,Online,Surging in Hobbies
USR628kq,12.97,0.16,6.57,False,False,False,Normal,1.0,2.0,4.0,4.0,57,665.575,4741.127017543859,211350.01,0.0,0.0,0.0,9484.07,0.0,25574400.0,0.05,3.0,Consistent Weekly,Shopping,In-store,Surging in Personal Hygiene
USR421bB,1.38,0.96,1.17,False,False,False,Normal,1.0,1.0,2.0,2.0,46,609.41,385.41021739130434,6251.28,0.0,0.0,0.0,5395.49,0.0,29721600.0,0.07,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Travel
USR376hP,0.93,0.32,0.63,False,False,False,Normal,1.0,1.0,2.0,2.0,53,639.77,320.52962264150943,1997.5,0.0,0.0,0.0,552.15,0.0,25747200.0,0.06,3.0,Single-Tasker,Fitness,Mobile App,Surging in Personal Hygiene
USR001YL,8.58,0.22,4.4,False,False,False,Normal,1.0,2.0,3.0,3.0,54,435.2533333333334,3982.410555555556,205093.33,0.0,0.0,0.0,2485.8,0.0,26524800.0,0.06,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Food
USR756hT,19.49,1.63,10.56,False,False,False,Normal,1.0,1.0,2.0,2.0,50,49.015,6657.5744,325127.03,0.0,0.0,0.0,6414.96,0.0,26697600.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Hobbies
USR148zM,0.92,0.35,0.64,False,False,False,Normal,1.0,1.0,2.0,2.0,50,249.515,588.0536,6872.4,0.0,0.0,0.0,835.18,0.0,25660800.0,0.06,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Groceries
USR496UB,9.75,2.06,5.91,False,False,False,Normal,1.0,2.0,7.0,7.0,61,1193.427142857143,479.3203278688525,6837.61,0.0,0.0,0.0,937.16,0.0,28598400.0,0.05,3.0,Consistent Weekly,Housing and Utilities,Online,Surging in Personal Hygiene
USR739ei,5.15,2.27,3.71,False,False,False,Normal,1.0,1.0,6.0,6.0,45,429.7166666666667,764.2855555555556,6673.06,0.0,0.0,0.0,6108.44,0.0,26438400.0,0.07,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Shopping
USR461nX,12.51,0.18,6.35,False,False,False,Normal,1.0,1.0,4.0,4.0,49,1235.6800000000003,5129.616530612246,238038.57,0.0,0.0,0.0,3501.81,0.0,25920000.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Food
USR313nW,1.56,1.83,1.69,False,False,False,Normal,1.0,1.0,3.0,3.0,52,711.9766666666666,342.46211538461534,2127.33,0.0,0.0,0.0,4204.18,0.0,30499200.0,0.06,3.0,Single-Tasker,Personal Hygiene,Mobile App,Surging in Personal Hygiene
USR626gZ,3.57,0.35,1.96,False,False,False,Normal,1.0,1.0,3.0,3.0,52,347.18666666666667,2066.7850000000003,90668.52,0.0,0.0,0.0,4762.86,0.0,26265600.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Friend Activities
USR746kv,1.89,1.25,1.57,False,False,False,Normal,1.0,2.0,3.0,3.0,44,33.086666666666666,742.8318181818181,21481.8,0.0,0.0,0.0,7907.84,0.0,28339200.0,0.07,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Hobbies
USR632NW,6.4,0.5,3.45,False,False,False,Normal,1.0,1.0,5.0,5.0,54,321.65,1840.292777777778,88286.88,0.0,0.0,0.0,9169.96,0.0,26006400.0,0.06,3.0,Single-Tasker,Shopping,Mobile App,Surging in Hobbies
USR765RD,8.16,1.54,4.85,False,False,False,Normal,1.0,3.0,6.0,6.0,55,236.71666666666667,264.2207272727273,3978.4,0.0,0.0,0.0,7564.59,0.0,26006400.0,0.05,3.0,Healthy Active User,Housing and Utilities,Online,Surging in Gifts
USR756uA,0.99,0.13,0.56,False,False,False,Normal,1.0,1.0,2.0,2.0,57,75.025,389.5966666666666,3824.22,0.0,0.0,0.0,8678.7,0.0,26179200.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Housing and Utilities
USR619km,7.58,2.01,4.8,False,False,False,Normal,1.0,3.0,3.0,3.0,51,821.6666666666666,1847.38431372549,45856.74,0.0,0.0,0.0,2295.47,0.0,28425600.0,0.06,3.0,Healthy Active User,Shopping,Mobile App,Surging in Travel
USR040Ko,0.45,0.35,0.4,False,False,False,Normal,1.0,1.0,3.0,3.0,43,23.666666666666668,373.50116279069766,4421.08,0.0,0.0,0.0,9826.42,0.0,26524800.0,0.07,3.0,Single-Tasker,Shopping,In-store,Surging in Hobbies
USR268Dy,10.31,0.15,5.23,False,False,False,Normal,1.0,1.0,2.0,2.0,47,161.18,4776.465531914893,190283.81,0.0,0.0,0.0,1900.34,0.0,28598400.0,0.06,3.0,Single-Tasker,Shopping,Mobile App,Surging in Gifts
USR708ic,2.96,0.83,1.89,False,False,False,Normal,1.0,1.0,4.0,4.0,61,1046.065,432.47754098360656,4108.66,0.0,0.0,0.0,2654.66,0.0,25747200.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Shopping
USR737zJ,0.34,0.13,0.23,False,False,False,Normal,1.0,1.0,2.0,2.0,55,27.935,281.21145454545456,4926.71,0.0,0.0,0.0,4632.69,0.0,26006400.0,0.05,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Transportation
USR074qk,1.83,0.43,1.13,False,False,False,Normal,1.0,1.0,2.0,2.0,38,40.675,488.2597368421052,7001.64,0.0,0.0,0.0,9437.86,0.0,25574400.0,0.08,3.0,Single-Tasker,Shopping,In-store,Surging in Personal Hygiene
USR552iz,4.57,0.31,2.44,False,False,False,Normal,1.0,1.0,2.0,2.0,46,154.17,2282.4919565217388,80965.09,0.0,0.0,0.0,7329.36,0.0,28080000.0,0.07,3.0,Single-Tasker,Shopping,Mobile App,Surging in Fitness
USR383GT,2.73,0.14,1.44,False,False,False,Normal,1.0,1.0,1.0,1.0,57,27.96,435.191403508772,6842.24,0.0,0.0,0.0,4923.5,0.0,26611200.0,0.05,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Groceries
USR605Px,7.36,0.16,3.76,False,False,False,Normal,1.0,2.0,2.0,2.0,47,188.1,3655.0165957446807,166202.6,0.0,0.0,0.0,7403.46,0.0,26265600.0,0.06,3.0,Consistent Weekly,Shopping,Online,Surging in Fitness
USR494kt,29.12,4.65,16.89,False,False,False,Normal,1.0,1.0,2.0,2.0,40,25.195,12459.1465,276733.01,0.0,0.0,0.0,4858.36,0.0,27993600.0,0.08,3.0,Single-Tasker,Shopping,Mobile App,Surging in Subscriptions
USR774PR,6.68,0.09,3.38,False,False,False,Normal,1.0,1.0,1.0,1.0,61,78.63,1326.2498360655738,59697.35,0.0,0.0,0.0,4931.36,0.0,25920000.0,0.05,3.0,Single-Tasker,Shopping,Online,Surging in Housing and Utilities
USR990MJ,22.36,0.7,11.53,False,False,False,Normal,1.0,3.0,6.0,6.0,72,348.4733333333333,3282.1715277777785,177421.04,0.0,0.0,0.0,9766.66,0.0,25660800.0,0.04,3.0,Healthy Active User,Shopping,Online,Surging in Fitness
USR651Yc,3.08,0.39,1.74,False,False,False,Normal,1.0,1.0,1.0,1.0,55,287.07,332.5796363636364,3789.27,0.0,0.0,0.0,657.09,0.0,26611200.0,0.05,3.0,Single-Tasker,Fitness,Online,Surging in Fitness
