user_id,forecast_month,segment,n_months_history,spend_forecast,spend_lower,spend_upper,spend_method,spend_direction,spend_pct_change_vs_hist,spend_vs_last_month_pct,count_forecast,count_lower,count_upper,count_method,avg_amount_forecast,hist_avg_spend,hist_avg_count,last_month_spend,last_month_count,confidence,cat1_name,cat1_forecast,cat1_hist_avg,cat2_name,cat2_forecast,cat2_hist_avg,cat3_name,cat3_forecast,cat3_hist_avg
USR059hG,2025-02,Single-Tasker,17,177.13,0.0,1223.85,prophet,decreasing,-77.2,92.7,2,0,4,prophet,88.56,777.3,2.7,91.91,1,high,Shopping,740.76,1240.16,Gifts,1258.55,952.05,Friend Activities,108.14,273.54
USR062rU,2025-02,Consistent Weekly,25,379.95,0.0,1788.8,prophet,decreasing,-43.7,806.8,2,0,3,prophet,189.97,675.1,1.9,41.9,1,high,Housing and Utilities,2483.46,2276.21,Transportation,205.38,301.35,Travel,443.28,331.2
USR066Hw,2025-02,Consistent Weekly,25,0.0,0.0,57042.72,prophet,decreasing,-100.0,-100.0,2,1,4,prophet,0.0,10468.82,2.4,20.05,1,high,Shopping,1810.3,40519.1,Housing and Utilities,2938.99,2010.87,Medical/Dental,979.41,702.34
USR068Xr,2024-12,Single-Tasker,20,21399.99,0.0,121580.64,prophet,decreasing,-36.7,14379.0,2,0,3,prophet,10700.0,33817.34,2.2,147.8,1,high,Shopping,36820.86,110691.43,Personal Hygiene,938.26,1394.82,Housing and Utilities,2763.66,2763.66
USR074qk,2025-02,Single-Tasker,21,971.37,0.0,3092.39,prophet,stable,9.9,1789.5,2,0,3,prophet,485.69,883.52,1.8,51.41,1,high,Shopping,3615.68,3137.66,Medical/Dental,916.86,718.18,Gifts,178.34,201.56
USR082ip,2025-01,Consistent Weekly,20,6753.38,0.0,45961.89,prophet,decreasing,-36.0,14244.5,3,1,5,prophet,2251.13,10558.17,2.5,47.08,3,high,Shopping,24679.18,39242.43,Housing and Utilities,1598.55,2302.42,Gifts,397.55,402.65
USR086qQ,2025-11,Single-Tasker,2,200.0,160.0,240.0,wma,stable,0.0,0.0,1,1,1,wma,200.0,200.0,1.0,200.0,1,low,Other,200.0,200.0,,,,,,
USR087Jg,2025-11,Single-Tasker,25,25.25,19.41,31.29,prophet,decreasing,-10.5,498.3,2,2,2,prophet,12.62,28.22,2.0,4.22,1,high,Finance,16.72,28.22,,,,,,
USR100df,2025-01,Consistent Weekly,20,0.0,0.0,8953.44,prophet,decreasing,-100.0,-100.0,2,1,4,prophet,0.0,2293.28,2.5,420.38,3,high,Shopping,12752.09,12638.54,Travel,651.45,449.28,Housing and Utilities,326.91,529.48
USR101Ec,2025-10,Single-Tasker,24,5850.0,5850.0,5850.0,prophet,stable,0.0,0.0,1,1,1,prophet,5850.0,5850.0,1.0,5850.0,1,high,Finance,5850.0,5850.0,,,,,,
USR101Wd,2025-11,Single-Tasker,25,534.4,419.2,657.65,prophet,decreasing,-10.4,497.8,5,4,7,prophet,106.88,596.34,5.8,89.4,1,high,Transportation,512.78,511.73,Groceries,89.4,89.4,Food and Dining,16.33,16.33
USR102Ib,2025-02,Consistent Weekly,23,37035.27,0.0,123675.93,prophet,increasing,65.4,26197.9,2,1,4,prophet,18517.63,22397.16,2.1,140.83,2,high,Shopping,157570.23,85117.41,Gifts,562.45,533.06,Medical/Dental,267.92,282.14
USR103fp,2025-02,Healthy Active User,24,0.0,0.0,42808.04,prophet,decreasing,-100.0,-100.0,3,1,5,prophet,0.0,13582.43,2.2,48.56,2,high,Shopping,78258.65,104896.24,Housing and Utilities,992.11,834.05,Gifts,834.41,618.94
USR104NK,2025-01,Consistent Weekly,21,19645.05,0.0,60635.79,prophet,increasing,149.1,1288.0,2,0,4,prophet,9822.52,7885.01,2.6,1415.31,4,high,Shopping,49682.92,38553.88,Travel,303.2,393.27,Housing and Utilities,1436.35,1088.25
USR104pB,2025-11,Healthy Active User,25,3980.95,2413.9,5648.0,prophet,stable,-0.2,696.2,6,4,8,prophet,663.49,3990.72,5.8,500.0,1,high,Finance,2578.5,2690.61,Fitness,578.5,578.5,Food and Dining,500.0,521.74
USR116fM,2025-10,Single-Tasker,24,1000.0,1000.0,1000.0,prophet,stable,0.0,0.0,1,1,1,prophet,1000.0,1000.0,1.0,1000.0,1,high,Finance,1000.0,1000.0,,,,,,
USR129NG,2025-02,Single-Tasker,23,12128.06,0.0,49371.44,prophet,increasing,23.6,48219.0,2,0,3,prophet,6064.03,9809.31,2.2,25.1,1,high,Shopping,78487.1,53507.31,Transportation,283.31,635.25,Medical/Dental,409.03,471.75
USR138nO,2025-11,Healthy Active User,25,3980.95,2317.55,5586.35,prophet,stable,-0.2,696.2,6,4,8,prophet,663.49,3990.72,5.8,500.0,1,high,Finance,2578.5,2690.61,Fitness,578.5,578.5,Food and Dining,500.0,521.74
USR139BK,2025-01,Consistent Weekly,23,0.0,0.0,30465.73,prophet,decreasing,-100.0,-100.0,4,2,5,prophet,0.0,8830.46,2.5,5713.78,5,high,Shopping,29635.25,47290.72,Housing and Utilities,2462.74,894.04,Gifts,185.21,199.72
USR139QE,2025-02,Consistent Weekly,24,3112.41,0.0,7568.89,prophet,increasing,76.2,395.0,1,0,3,prophet,3112.41,1766.47,2.2,628.78,2,high,Shopping,12036.02,9082.84,Housing and Utilities,1633.09,2630.49,Gifts,1163.74,945.14
USR140si,2025-02,Single-Tasker,22,0.0,0.0,14078.35,prophet,decreasing,-100.0,-100.0,2,1,3,prophet,0.0,3020.48,1.9,7.99,1,high,Shopping,9955.35,19252.29,Medical/Dental,764.11,651.73,Fitness,780.31,593.75
USR146jK,2025-01,Single-Tasker,20,611.41,0.0,1894.07,prophet,stable,4.6,63.8,2,1,4,prophet,305.7,584.71,2.0,373.26,2,high,Shopping,2886.3,2247.25,Medical/Dental,262.34,480.18,Gifts,288.49,475.31
USR148zM,2025-02,Single-Tasker,22,1779.45,0.0,3884.59,prophet,increasing,33.1,256.6,2,0,4,prophet,889.73,1336.49,2.3,499.03,2,high,Housing and Utilities,3877.65,2571.93,Travel,862.45,797.85,Medical/Dental,555.74,561.97
USR149Et,2024-12,High-Intensity User,13,2190.6,1097.76,3238.03,prophet,increasing,34.0,1804.9,50,22,79,prophet,43.81,1635.17,54.5,115.0,3,high,Finance,178.47,784.97,Shopping,556.68,333.75,Other,329.64,161.27
USR149vb,2025-12,Low Activity/Trial,4,19117.45,0.0,39861.19,prophet,stable,-1.1,8705.8,24,0,49,prophet,796.56,19336.2,24.5,217.1,2,medium,Other,17506.03,17536.73,Shopping,1502.6,1554.8,Medical/Dental,1209.0,1255.5
USR151Xg,2025-01,Single-Tasker,20,2210.59,0.0,19814.74,prophet,decreasing,-53.9,-31.6,2,1,4,prophet,1105.3,4799.0,2.8,3232.44,2,high,Shopping,11636.41,17206.37,Housing and Utilities,2257.01,2955.06,Fitness,305.74,589.48
USR155Ld,2025-02,Consistent Weekly,22,19320.41,0.0,63601.74,prophet,increasing,97.6,19145.4,2,0,4,prophet,9660.2,9779.25,2.0,100.39,2,high,Shopping,49950.72,51953.41,Fitness,235.96,684.72,Medical/Dental,650.1,485.18
USR157Ok,2025-02,Single-Tasker,21,1966.4,0.0,18311.14,prophet,decreasing,-38.5,23998.0,2,0,4,prophet,983.2,3198.54,2.7,8.16,1,high,Shopping,19454.85,12071.72,Travel,404.65,331.09,Medical/Dental,277.31,292.84
USR162th,2025-01,Healthy Active User,21,7138.15,0.0,22563.56,prophet,increasing,131.7,336.2,3,2,5,prophet,2379.38,3081.27,2.4,1636.45,4,high,Shopping,55564.83,55564.83,Fitness,936.3,699.99,Friend Activities,559.87,493.93
USR163vx,2025-11,Single-Tasker,1,541.95,433.56,650.34,segment_median,increasing,111.1,111.1,1,1,1,wma,541.95,256.67,1.0,256.67,1,low,Other,256.67,256.67,,,,,,
USR165jr,2025-02,Single-Tasker,22,584.29,0.0,1508.96,prophet,stable,1.4,74.8,2,1,3,prophet,292.14,576.23,2.3,334.34,1,high,Shopping,877.46,797.23,Housing and Utilities,1513.91,1030.91,Fitness,177.78,357.04
USR169XO,2025-02,Single-Tasker,23,710.61,0.0,1567.19,prophet,increasing,61.6,12680.8,3,2,5,prophet,236.87,439.76,2.0,5.56,1,high,Shopping,405.37,866.97,Travel,544.71,402.6,Personal Hygiene,28.12,112.95
USR170FQ,2025-11,Single-Tasker,2,1000.0,800.0,1200.0,wma,stable,0.0,0.0,1,1,1,wma,1000.0,1000.0,1.0,1000.0,1,low,Other,1000.0,1000.0,,,,,,
USR174bk,2025-11,Single-Tasker,25,534.4,410.66,664.9,prophet,decreasing,-10.4,497.8,5,4,7,prophet,106.88,596.34,5.8,89.4,1,high,Transportation,512.78,511.73,Groceries,89.4,89.4,Food and Dining,16.33,16.33
USR197Mx,2025-01,Consistent Weekly,22,0.0,0.0,32056.62,prophet,decreasing,-100.0,-100.0,3,2,4,prophet,0.0,8831.11,2.4,497.13,2,high,Shopping,23900.82,29389.4,Housing and Utilities,2687.87,2617.21,Personal Hygiene,661.09,340.9
USR199CW,2025-02,Consistent Weekly,22,0.0,0.0,3755.76,prophet,decreasing,-100.0,-100.0,2,0,3,prophet,0.0,1815.29,2.5,401.82,2,high,Shopping,1774.72,4462.25,Gifts,834.28,795.98,Fitness,861.07,1021.95
USR200Qr,2025-02,Single-Tasker,22,33431.2,0.0,75384.49,prophet,increasing,168.0,3686.2,2,1,4,prophet,16715.6,12472.67,2.4,882.97,2,high,Shopping,65391.81,37345.64,Housing and Utilities,1384.77,683.04,Gifts,647.58,363.25
USR201Zu,2025-02,Consistent Weekly,20,1215.71,0.0,4006.0,prophet,stable,-9.6,19.4,3,1,4,prophet,405.24,1344.18,2.8,1017.88,2,high,Housing and Utilities,40.49,2008.3,Shopping,2538.89,1985.96,Travel,551.02,416.63
USR203qJ,2025-02,Single-Tasker,23,3771.98,0.0,15160.55,prophet,increasing,45.1,4871.6,2,1,4,prophet,1885.99,2600.04,2.7,75.87,1,high,Shopping,44761.29,44761.29,Housing and Utilities,91.19,1222.64,Travel,842.8,931.27
USR207DW,2025-02,Single-Tasker,24,7202.87,0.0,18316.95,prophet,increasing,176.7,821.0,2,1,4,prophet,3601.43,2602.8,2.7,782.06,1,high,Shopping,14660.25,6828.62,Personal Hygiene,863.6,881.12,Housing and Utilities,855.98,1253.56
USR208yg,2025-12,Low Activity/Trial,4,1913.3,0.0,4151.13,prophet,stable,-1.0,8713.0,24,0,49,prophet,79.72,1932.82,24.5,21.71,2,medium,Finance,1887.03,1887.03,Other,752.72,766.17,Shopping,253.78,253.78
USR215xz,2025-02,Single-Tasker,22,356.88,0.0,1949.23,prophet,decreasing,-70.3,2939.9,3,1,4,prophet,118.96,1200.48,2.3,11.74,1,high,Housing and Utilities,464.46,1935.4,Fitness,1419.51,1369.32,Shopping,821.03,1449.62
USR218kF,2024-12,Consistent Weekly,11,0.0,0.0,32.14,prophet,decreasing,-100.0,-100.0,4,3,4,prophet,0.0,41.18,4.8,20.0,4,high,Transportation,20.83,24.82,Shopping,56.67,67.5,Entertainment,25.0,25.0
USR223cE,2025-02,Single-Tasker,23,28231.88,0.0,72687.36,prophet,increasing,144.7,593006.7,3,1,5,prophet,9410.63,11535.88,2.4,4.76,1,high,Shopping,23823.6,49546.48,Housing and Utilities,1748.24,2586.93,Fitness,911.24,1126.23
USR227ai,2025-12,Low Activity/Trial,4,1911.74,0.0,4066.69,prophet,stable,-1.1,8705.8,24,0,51,prophet,79.66,1933.62,24.5,21.71,2,medium,Finance,1898.65,1898.24,Other,760.84,771.74,Transportation,138.23,142.88
USR235aH,2025-12,Single-Tasker,23,4485.24,3247.02,5635.12,prophet,decreasing,-14.9,-10.3,1,0,1,prophet,4485.24,5271.74,1.1,5000.0,1,high,Finance,5000.0,5000.0,Other,1416.67,2083.33,,,
USR240hY,2025-02,Consistent Weekly,20,9818.58,0.0,47064.89,prophet,increasing,24.8,1494.7,2,1,3,prophet,4909.29,7869.8,2.3,615.7,2,high,Shopping,45072.19,45081.68,Housing and Utilities,1356.34,2466.61,Travel,457.24,307.79
USR242VN,2025-02,Healthy Active User,22,11288.03,0.0,99421.48,prophet,decreasing,-24.9,1427.2,3,1,4,prophet,3762.68,15024.14,2.5,739.11,4,high,Shopping,159713.86,64096.63,Personal Hygiene,107.13,604.28,Housing and Utilities,388.33,432.92
USR244Uu,2025-01,Single-Tasker,19,1480.54,0.0,4660.99,prophet,decreasing,-11.9,17055.7,3,1,4,prophet,493.51,1681.03,2.7,8.63,1,high,Shopping,5146.25,3320.67,Housing and Utilities,119.62,1210.91,Personal Hygiene,1447.38,1462.49
USR247kd,2025-02,Single-Tasker,24,10504.22,0.0,30462.3,prophet,increasing,173.6,20042.3,2,1,3,prophet,5252.11,3839.75,2.3,52.15,1,high,Shopping,56320.9,42286.7,Gifts,239.1,396.83,Hobbies,181.72,188.38
USR249de,2025-02,Single-Tasker,23,217.57,0.0,1910.92,prophet,decreasing,-73.9,160.0,2,0,3,prophet,108.78,833.94,2.0,83.67,1,high,Housing and Utilities,1630.51,2333.47,Fitness,405.72,468.73,Personal Hygiene,174.73,144.35
USR253Hy,2025-02,Consistent Weekly,19,75.3,0.0,1149.84,prophet,decreasing,-91.0,-47.2,3,1,4,prophet,25.1,833.42,2.8,142.66,2,high,Housing and Utilities,1389.16,2008.93,Travel,446.74,450.43,Medical/Dental,482.93,418.13
USR257qy,2025-12,Low Activity/Trial,4,1911.74,0.0,4123.37,prophet,stable,-1.1,8705.8,24,0,50,prophet,79.66,1933.62,24.5,21.71,2,medium,Other,1306.76,1316.94,Shopping,744.96,744.96,Finance,200.0,200.0
USR258SD,2025-01,Healthy Active User,21,33946.48,0.0,74143.38,prophet,increasing,269.4,2485.5,2,1,4,prophet,16973.24,9189.08,2.2,1312.96,4,high,Shopping,85376.73,59450.84,Housing and Utilities,153.39,870.24,Travel,747.59,746.07
USR258us,2025-02,Single-Tasker,19,363.85,0.0,2100.68,prophet,decreasing,-57.5,434.4,2,0,3,prophet,181.93,856.12,2.3,68.09,1,high,Housing and Utilities,106.27,1506.54,Fitness,589.61,569.91,Travel,864.62,560.89
USR263pz,2025-11,Single-Tasker,25,25.25,19.03,31.15,prophet,decreasing,-10.5,498.3,2,2,2,prophet,12.62,28.22,2.0,4.22,1,high,Finance,16.72,28.22,,,,,,
USR264Ys,2025-11,Single-Tasker,25,534.4,408.0,672.81,prophet,decreasing,-10.4,497.8,5,4,7,prophet,106.88,596.34,5.8,89.4,1,high,Transportation,512.78,511.73,Groceries,89.4,89.4,Food and Dining,16.33,16.33
USR268Dy,2025-01,Single-Tasker,20,30126.23,0.0,82717.44,prophet,increasing,168.4,9439.1,2,1,3,prophet,15063.11,11224.69,2.4,315.82,1,high,Shopping,98722.46,52959.63,Housing and Utilities,2159.59,2162.22,Travel,95.75,217.47
USR270YP,2025-02,Single-Tasker,19,8110.53,0.0,99256.53,prophet,decreasing,-69.5,263.5,3,1,4,prophet,2703.51,26576.25,2.1,2231.46,3,high,Shopping,2918.0,82863.84,Medical/Dental,299.26,413.49,Fitness,490.87,542.75
USR271Yo,2024-12,Single-Tasker,17,1134.14,0.0,2766.96,prophet,increasing,24.3,297.8,3,2,4,prophet,378.05,912.4,2.6,285.07,2,high,Housing and Utilities,1696.59,1714.16,Gifts,1043.35,819.34,Shopping,228.13,273.12
USR271eY,2025-02,Single-Tasker,21,3612.76,0.0,82555.58,prophet,decreasing,-74.5,-51.7,3,1,5,prophet,1204.25,14183.36,2.4,7477.15,1,high,Shopping,49974.42,94749.0,Housing and Utilities,1268.56,1866.14,Gifts,480.15,667.53
USR272FG,2025-10,Single-Tasker,24,1000.0,1000.0,1000.0,prophet,stable,0.0,0.0,1,1,1,prophet,1000.0,1000.0,1.0,1000.0,1,high,Finance,1000.0,1000.0,,,,,,
USR272Ng,2025-01,Single-Tasker,20,5361.37,0.0,19787.68,prophet,increasing,47.5,8433.1,2,0,4,prophet,2680.68,3635.36,2.4,62.83,1,high,Shopping,25122.13,16850.68,Housing and Utilities,3169.58,3689.49,Gifts,490.6,672.07
USR273gg,2025-11,Single-Tasker,25,534.4,409.74,654.88,prophet,decreasing,-10.4,497.8,5,4,7,prophet,106.88,596.34,5.8,89.4,1,high,Transportation,512.78,511.73,Groceries,89.4,89.4,Food and Dining,16.33,16.33
USR279gH,2025-01,Single-Tasker,22,807.36,0.0,2093.97,prophet,increasing,21.6,872.4,2,1,4,prophet,403.68,663.84,2.1,83.03,2,high,Housing and Utilities,1453.26,1435.5,Personal Hygiene,82.89,550.64,Medical/Dental,456.69,520.4
USR291BJ,2025-01,Single-Tasker,20,50195.03,0.0,129942.03,prophet,increasing,70.3,60912.6,3,1,4,prophet,16731.68,29471.64,2.1,82.27,2,high,Shopping,112042.82,116380.11,Fitness,329.98,429.05,Travel,565.49,630.71
USR297tJ,2025-01,Single-Tasker,19,358.44,0.0,906.2,prophet,stable,-9.3,3336.6,3,1,4,prophet,119.48,394.99,2.4,10.43,1,high,Travel,490.92,673.25,Gifts,395.86,259.68,Shopping,414.49,371.87
USR298fI,2025-11,Healthy Active User,25,3980.95,2424.89,5602.3,prophet,stable,-0.2,696.2,6,4,8,prophet,663.49,3990.72,5.8,500.0,1,high,Finance,2578.5,2690.61,Fitness,578.5,578.5,Food and Dining,500.0,521.74
USR298ko,2025-01,Consistent Weekly,20,6260.03,0.0,41649.97,prophet,decreasing,-36.6,11005.3,2,1,3,prophet,3130.01,9868.73,2.1,56.37,2,high,Shopping,42130.07,31826.78,Travel,730.18,693.46,Medical/Dental,369.72,470.42
USR305BD,2025-10,Single-Tasker,24,1000.0,1000.0,1000.0,prophet,stable,0.0,0.0,1,1,1,prophet,1000.0,1000.0,1.0,1000.0,1,high,Finance,1000.0,1000.0,,,,,,
USR310Mk,2025-11,Single-Tasker,2,2000.0,1600.0,2400.0,wma,stable,0.0,0.0,1,1,1,wma,2000.0,2000.0,1.0,2000.0,1,low,Other,2000.0,2000.0,,,,,,
USR310Wm,2025-01,Consistent Weekly,22,12156.34,0.0,81670.12,prophet,stable,-6.2,972.2,2,1,4,prophet,6078.17,12954.58,2.5,1133.79,3,high,Shopping,46111.58,54859.18,Gifts,837.48,376.71,Friend Activities,344.87,300.93
USR313nW,2024-12,Single-Tasker,20,1713.6,702.5,2904.46,prophet,increasing,92.5,-19.8,3,1,4,prophet,571.2,890.4,2.6,2135.93,3,high,Personal Hygiene,1603.27,1011.71,Shopping,728.93,1224.25,Medical/Dental,322.64,351.62
USR317Xw,2025-02,Consistent Weekly,21,686.02,0.0,1349.7,prophet,increasing,12.6,606.1,2,1,3,prophet,343.01,609.14,2.2,97.16,3,high,Gifts,694.05,614.25,Medical/Dental,408.61,363.36,Travel,837.71,868.13
USR321bf,2025-01,Single-Tasker,20,448.73,0.0,2671.39,prophet,decreasing,-64.6,13.5,2,1,3,prophet,224.37,1268.68,1.9,395.24,1,high,Housing and Utilities,1669.46,2178.02,Shopping,1590.35,1231.09,Fitness,624.69,973.72
USR324Nf,2025-01,Single-Tasker,20,5087.8,0.0,35821.03,prophet,decreasing,-19.6,3715.9,2,0,3,prophet,2543.9,6324.58,2.4,133.33,4,high,Shopping,35856.32,35818.65,Housing and Utilities,3981.15,3967.03,Gifts,516.89,529.17
USR329IV,2025-11,Single-Tasker,25,534.4,400.71,659.11,prophet,decreasing,-10.4,497.8,5,4,7,prophet,106.88,596.34,5.8,89.4,1,high,Transportation,512.78,511.73,Groceries,89.4,89.4,Food and Dining,16.33,16.33
USR329uU,2025-12,Low Activity/Trial,4,19723.64,0.0,42304.15,prophet,stable,-0.3,8985.0,24,0,51,prophet,821.82,19782.45,24.5,217.1,2,medium,Other,30730.85,24639.77,Shopping,1713.03,1779.7,Food and Dining,349.9,406.57
USR331Xb,2025-01,Single-Tasker,19,0.0,0.0,12929.65,prophet,decreasing,-100.0,-100.0,2,0,4,prophet,0.0,3197.68,2.2,1713.89,3,high,Shopping,52325.26,52325.26,Fitness,1112.52,526.37,Travel,576.59,855.72
USR332Yp,2025-01,Consistent Weekly,20,11199.05,0.0,25732.03,prophet,increasing,216.4,17503.0,2,1,4,prophet,5599.52,3540.01,2.4,63.62,2,high,Shopping,28253.59,11926.04,Housing and Utilities,2437.83,1646.17,Travel,190.64,429.67
USR333eC,2025-10,Single-Tasker,24,1000.0,1000.0,1000.0,prophet,stable,0.0,0.0,1,1,1,prophet,1000.0,1000.0,1.0,1000.0,1,high,Finance,1000.0,1000.0,,,,,,
USR335Sx,2025-01,Single-Tasker,22,1609.39,25.29,3237.03,prophet,increasing,73.7,-44.3,3,0,5,prophet,536.46,926.54,2.8,2889.15,2,high,Housing and Utilities,1410.93,1395.46,Travel,507.15,391.8,Personal Hygiene,638.64,638.61
USR338ns,2025-11,Single-Tasker,2,200.0,160.0,240.0,wma,stable,0.0,0.0,1,1,1,wma,200.0,200.0,1.0,200.0,1,low,Other,200.0,200.0,,,,,,
USR340wo,2025-11,High-Intensity User,2,5897.42,4717.94,7076.91,wma,decreasing,-18.9,87.4,47,37,56,wma,125.48,7272.44,53.5,3147.4,33,low,Finance,3589.0,4329.5,Transportation,777.44,1082.66,Shopping,602.56,734.84
USR342cz,2025-11,High-Intensity User,13,2470.01,1354.13,3540.94,prophet,increasing,32.4,19.7,86,66,106,prophet,28.72,1865.34,61.5,2064.03,66,high,Finance,577.35,664.71,Shopping,445.07,343.06,Other,290.3,266.26
USR343dk,2025-01,Single-Tasker,20,24125.61,0.0,125521.03,prophet,increasing,29.0,42166.3,2,0,3,prophet,12062.81,18707.21,2.1,57.08,1,high,Shopping,120095.79,89565.16,Housing and Utilities,2513.04,2132.53,Personal Hygiene,859.31,642.8
USR350bh,2025-01,Single-Tasker,20,547.56,0.0,1336.73,prophet,increasing,24.1,-33.1,2,1,3,prophet,273.78,441.38,1.9,818.65,3,high,Medical/Dental,759.56,630.73,Gifts,425.89,665.74,Shopping,679.12,743.62
USR352dx,2025-10,Single-Tasker,24,5850.0,5850.0,5850.0,prophet,stable,0.0,0.0,1,1,1,prophet,5850.0,5850.0,1.0,5850.0,1,high,Finance,5850.0,5850.0,,,,,,
USR352pI,2025-11,Single-Tasker,2,200.0,160.0,240.0,wma,stable,0.0,0.0,1,1,1,wma,200.0,200.0,1.0,200.0,1,low,Other,200.0,200.0,,,,,,
USR354Rs,2023-11,Healthy Active User,1,1177.36,941.89,1412.83,segment_median,decreasing,-62.6,-62.6,3,2,4,wma,392.45,3150.0,3.0,3150.0,3,low,Other,3150.0,3150.0,,,,,,
USR360hy,2025-02,Single-Tasker,23,323.04,0.0,2556.4,prophet,decreasing,-73.7,46.0,2,0,3,prophet,161.52,1228.6,2.2,221.31,1,high,Shopping,1159.3,2119.84,Housing and Utilities,2213.93,1679.7,Personal Hygiene,8.63,405.48
USR365gu,2025-10,Single-Tasker,24,5850.0,5850.0,5850.0,prophet,stable,0.0,0.0,1,1,1,prophet,5850.0,5850.0,1.0,5850.0,1,high,Finance,5850.0,5850.0,,,,,,
USR372Mt,2025-02,Single-Tasker,20,0.0,0.0,18524.51,prophet,decreasing,-100.0,-100.0,3,1,4,prophet,0.0,4196.72,2.5,5.84,1,high,Shopping,721.33,17647.6,Housing and Utilities,1799.9,1384.43,Travel,148.58,403.39
USR375sC,2025-01,Single-Tasker,21,39335.88,0.0,124705.91,prophet,increasing,91.5,195212.2,2,0,3,prophet,19667.94,20543.4,1.9,20.14,2,high,Shopping,156437.11,70277.54,Housing and Utilities,69.94,793.13,Medical/Dental,648.07,538.66
